scenario_label,support,positive_rate,predicted_positive_rate,precision,recall,f1,avg_risk_score
NORMAL_ON_TIME,408,0.08088235294117647,0.0857843137254902,0.14285714285714285,0.15151515151515152,0.14705882352941177,0.324831752167615
LOW_RISK_STANDARD_PROCESS,154,0.11688311688311688,0.1038961038961039,0.0,0.0,0.0,0.33588920136171363
BEHAVIOURAL_QUEUE_CLEARANCE,151,0.8609271523178808,0.9602649006622517,0.8620689655172413,0.9615384615384616,0.9090909090909091,0.7490314732430208
CORA_SAP_SYSTEM_ERROR,142,0.8943661971830986,0.9366197183098591,0.9022556390977443,0.9448818897637795,0.9230769230769231,0.6605106283247597
LEGITIMATE_UPR_EARLY_PAYMENT,117,0.8547008547008547,0.9658119658119658,0.8584070796460177,0.97,0.9107981220657277,0.6992012093812829
PAYMENT_TERM_MISMATCH,105,0.8285714285714286,0.8,0.8214285714285714,0.7931034482758621,0.8070175438596491,0.595596545719004
REPEAT_VENDOR_PATTERN,94,0.6382978723404256,0.09574468085106383,0.4444444444444444,0.06666666666666667,0.11594202898550725,0.3800708912675616
HIGH_VALUE_MANUAL_OVERRIDE,54,0.8888888888888888,0.9629629629629629,0.8846153846153846,0.9583333333333334,0.92,0.7616542731764872
AUDIT_GAP_EARLY_RELEASE,25,0.72,0.6,0.6666666666666666,0.5555555555555556,0.6060606060606061,0.5399171174248802
