model,precision,recall,f1,roc_auc,error
Random Forest,0.7906976744186046,0.7665056360708534,0.7784137367130008,0.8291155605733611,None
XGBoost,0.7908163265306123,0.748792270531401,0.7692307692307693,0.8247889833567584,None
LightGBM,0.7861952861952862,0.7520128824476651,0.7687242798353909,0.8250987560450477,None
Logistic Regression,0.7630718954248366,0.7520128824476651,0.7575020275750203,0.8086321615733381,None
PyTorch Neural Network,0.5077777777777778,1.0,0.6735445836403832,0.651273641523134,None
